,2021-12-03,2022-12-02
CashAndCashEquivalentsAtCarryingValue,3844000000,4236000000
ShortTermInvestments,1954000000,1860000000
AccountsReceivableNetCurrent,1878000000,2065000000
PrepaidExpenseAndOtherAssetsCurrent,993000000,835000000
AssetsCurrent,8669000000,8996000000
PropertyPlantAndEquipmentNet,1673000000,1908000000
OperatingLeaseRightOfUseAsset,443000000,407000000
Goodwill,12668000000,12787000000
OtherIntangibleAssetsNet,1820000000,1449000000
DeferredIncomeTaxAssetsNet,1085000000,777000000
OtherAssetsNoncurrent,883000000,841000000
Assets,27241000000,27165000000
AccountsPayableCurrent,312000000,379000000
AccruedLiabilitiesCurrent,1736000000,1790000000
DebtCurrent,0,500000000
ContractWithCustomerLiabilityCurrent,4733000000,5297000000
AccruedIncomeTaxesCurrent,54000000,75000000
OperatingLeaseLiabilityCurrent,97000000,87000000
LiabilitiesCurrent,6932000000,8128000000
LongTermDebt,4123000000,3629000000
ContractWithCustomerLiabilityNoncurrent,145000000,117000000
AccruedIncomeTaxesNoncurrent,534000000,530000000
OperatingLeaseLiabilityNoncurrent,453000000,417000000
OtherLiabilitiesNoncurrent,257000000,293000000
Liabilities,12444000000,13114000000
CommitmentsAndContingencies,0.0,0.0
PreferredStockValue,0,0
CommonStockValue,0,0
AdditionalPaidInCapital,8428000000,9868000000
RetainedEarningsAccumulatedDeficit,23905000000,28319000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-137000000,-293000000
TreasuryStockValue,17399000000,23843000000
StockholdersEquity,14797000000,14051000000
LiabilitiesAndStockholdersEquity,27241000000,27165000000
