,2021-08-29,2022-08-28
CashAndCashEquivalentsAtCarryingValue,11258000000,10203000000
ShortTermInvestments,917000000,846000000
ReceivablesNetCurrent,1803000000,2241000000
InventoryNet,14215000000,17907000000
OtherAssetsCurrent,1312000000,1499000000
AssetsCurrent,29505000000,32696000000
PropertyPlantAndEquipmentNet,23492000000,24646000000
OperatingLeaseRightOfUseAsset,2890000000,2774000000
OtherAssetsNoncurrent,3381000000,4050000000
Assets,59268000000,64166000000
AccountsPayableCurrent,16278000000,17848000000
EmployeeRelatedLiabilitiesCurrent,4090000000,4381000000
AccruedLiabilitiesCurrent,1671000000,1911000000
DeferredRevenueCurrent,2042000000,2174000000
LongTermDebtCurrent,799000000,73000000
OtherLiabilitiesCurrent,4561000000,5611000000
LiabilitiesCurrent,29441000000,31998000000
LongTermDebtNoncurrent,6692000000,6484000000
OperatingLeaseLiabilityNoncurrent,2642000000,2482000000
OtherLiabilitiesNoncurrent,2415000000,2555000000
Liabilities,41190000000,43519000000
PreferredStockValue,0,0
CommonStockValue,4000000,2000000
AdditionalPaidInCapitalCommonStock,7031000000,6884000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-1137000000,-1829000000
RetainedEarningsAccumulatedDeficit,11666000000,15585000000
StockholdersEquity,17564000000,20642000000
MinorityInterest,514000000,5000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,18078000000,20647000000
LiabilitiesAndStockholdersEquity,59268000000,64166000000
