,2021-03-31,2022-03-31
CashAndCashEquivalentsAtCarryingValue,5260000000,2732000000
AvailableForSaleSecuritiesDebtSecurities,1106000000,330000000
AccountsReceivableNetCurrent,521000000,650000000
OtherAssetsCurrent,326000000,439000000
AssetsCurrent,7213000000,4151000000
PropertyPlantAndEquipmentNet,491000000,550000000
Goodwill,2868000000,5387000000
IntangibleAssetsNetExcludingGoodwill,309000000,962000000
DeferredIncomeTaxAssetsNet,2045000000,2243000000
OtherAssetsNoncurrent,362000000,507000000
Assets,13288000000,13800000000
AccountsPayableCurrent,96000000,101000000
AccruedLiabilitiesCurrent,1341000000,1388000000
DeferredRevenueCurrent,1527000000,2024000000
LiabilitiesCurrent,2964000000,3513000000
SeniorLongTermNotes,1876000000,1878000000
LiabilityforUncertaintyinIncomeTaxesNoncurrentandorU.STaxCutsandJobsActTransitionTax,315000000,386000000
DeferredIncomeTaxLiabilitiesNet,43000000,1000000
OtherLiabilitiesNoncurrent,250000000,397000000
Liabilities,5448000000,6175000000
CommitmentsAndContingencies,0.0,0.0
PreferredStockValue,0,0
CommonStockValue,3000000,3000000
AdditionalPaidInCapitalCommonStock,0,0
RetainedEarningsAccumulatedDeficit,7887000000,7607000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-50000000,15000000
StockholdersEquity,7840000000,7625000000
LiabilitiesAndStockholdersEquity,13288000000,13800000000
PreferredStockParOrStatedValuePerShare,0.01,0.01
PreferredStockSharesAuthorized,10000000,10000000
CommonStockParOrStatedValuePerShare,0.01,0.01
CommonStockSharesAuthorized,1000000000,1000000000
CommonStockSharesIssued,286000000,280000000
CommonStockSharesOutstanding,286000000,280000000
