,2021-01-29,2022-01-28
CashAndCashEquivalentsAtCarryingValue,4690000000,1133000000
ShortTermInvestments,506000000,271000000
InventoryNet,16193000000,17605000000
OtherAssetsCurrent,937000000,1051000000
AssetsCurrent,22326000000,20060000000
PropertyPlantAndEquipmentNet,19155000000,19071000000
OperatingLeaseRightOfUseAsset,3832000000,4108000000
MarketableSecuritiesNoncurrent,200000000,199000000
DeferredIncomeTaxAssetsNet,340000000,164000000
OtherAssetsNoncurrent,882000000,1038000000
Assets,46735000000,44640000000
LongTermDebtAndCapitalLeaseObligationsCurrent,1112000000,868000000
OperatingLeaseLiabilityCurrent,541000000,636000000
AccountsPayableCurrent,10884000000,11354000000
EmployeeRelatedLiabilitiesCurrent,1350000000,1561000000
ContractWithCustomerLiabilityCurrent,1608000000,1914000000
OtherLiabilitiesCurrent,3235000000,3335000000
LiabilitiesCurrent,18730000000,19668000000
LongTermDebtAndCapitalLeaseObligations,20668000000,23859000000
OperatingLeaseLiabilityNoncurrent,3890000000,4021000000
ContractWithCustomerLiabilityNoncurrent,1019000000,1127000000
OtherLiabilitiesNoncurrent,991000000,781000000
Liabilities,45298000000,49456000000
CommitmentsAndContingencies,0,0
PreferredStockValueOutstanding,0,0
CommonStockValueOutstanding,366000000,335000000
AdditionalPaidInCapitalCommonStock,90000000,0
RetainedEarningsAccumulatedDeficit,1117000000,-5115000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-136000000,-36000000
StockholdersEquity,1437000000,-4816000000
LiabilitiesAndStockholdersEquity,46735000000,44640000000
