,2021-12-31,2022-12-31
CashAndCashEquivalentsAtCarryingValue,4496000000,3207000000
AccountsReceivableNetCurrent,3123000000,3850000000
OtherReceivablesNetCurrent,817000000,906000000
InventoryLeafTobacco,1642000000,1674000000
InventoryRawMaterialsNetOfReserves,1652000000,2028000000
InventoryFinishedGoodsNetOfReserves,5426000000,6184000000
InventoryNet,8720000000,9886000000
OtherAssetsCurrent,561000000,1770000000
AssetsCurrent,17717000000,19619000000
LandAndLandImprovements,565000000,545000000
BuildingsAndImprovementsGross,4293000000,4291000000
MachineryAndEquipmentGross,9275000000,9549000000
ConstructionInProgressGross,599000000,1058000000
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetBeforeAccumulatedDepreciationAndAmortization,14732000000,15443000000
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAccumulatedDepreciationAndAmortization,8564000000,8733000000
PropertyPlantAndEquipmentAndFinanceLeaseRightOfUseAssetAfterAccumulatedDepreciationAndAmortization,6168000000,6710000000
Goodwill,6680000000,19655000000
IntangibleAssetsNetExcludingGoodwill,2818000000,6732000000
LongTermInvestments,4463000000,4431000000
DeferredIncomeTaxAssetsNet,895000000,603000000
OtherAssetsNoncurrent,2549000000,3931000000
Assets,41290000000,61681000000
ShortTermBorrowings,225000000,5637000000
LongTermDebtAndCapitalLeaseObligationsCurrent,2798000000,2611000000
AccountsPayableCurrent,3331000000,4076000000
AccruedMarketingCostsCurrent,811000000,695000000
SalesAndExciseTaxPayableCurrent,6324000000,7440000000
EmployeeRelatedLiabilitiesCurrent,1146000000,1168000000
DividendsPayableCurrent,1958000000,1990000000
OtherAccruedLiabilitiesCurrent,1637000000,2679000000
AccruedIncomeTaxesCurrent,1025000000,1040000000
LiabilitiesCurrent,19255000000,27336000000
LongTermDebtAndCapitalLeaseObligations,24783000000,34875000000
DeferredIncomeTaxLiabilitiesNet,726000000,1956000000
PensionAndOtherPostretirementAndPostemploymentBenefitPlansLiabilitiesNoncurrent,2968000000,1984000000
IncomeTaxesAndOtherLiabilitiesNoncurrent,1766000000,1841000000
Liabilities,49498000000,67992000000
CommitmentsAndContingencies,0.0,0.0
CommonStockValue,0,0
AdditionalPaidInCapitalCommonStock,2225000000,2230000000
RetainedEarningsAccumulatedDeficit,33082000000,34289000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-9577000000,-9559000000
StockholdersEquityBeforeTreasuryStock,25730000000,26960000000
TreasuryStockValue,35836000000,35917000000
StockholdersEquity,-10106000000,-8957000000
MinorityInterest,1898000000,2646000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,-8208000000,-6311000000
LiabilitiesAndStockholdersEquity,41290000000,61681000000
