,2021-10-02,2022-10-01
CashAndCashEquivalentsAtCarryingValue,15959000000,11615000000
ReceivablesNetCurrent,13367000000,12652000000
InventoryNet,1331000000,1742000000
LicensedContentCostsAndAdvances,2183000000,1890000000
OtherAssetsCurrent,817000000,1199000000
AssetsCurrent,33657000000,29098000000
ProducedAndLicensedContentCosts,29549000000,35777000000
LongTermInvestments,3935000000,3218000000
PropertyPlantAndEquipmentGross,64892000000,66998000000
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,37920000000,39356000000
ParksResortsAndOtherPropertyAtCostExcludingProjectsAndLand,26972000000,27642000000
ConstructionInProgressGross,4521000000,4814000000
Land,1131000000,1140000000
PropertyPlantAndEquipmentNet,32624000000,33596000000
IntangibleAssetsNetExcludingGoodwill,17115000000,14837000000
Goodwill,78071000000,77897000000
OtherAssetsNoncurrent,8658000000,9208000000
Assets,203609000000,203631000000
AccountsPayableAndAccruedLiabilitiesCurrent,20894000000,20213000000
LongTermDebtCurrent,5866000000,3070000000
DeferredRevenueCurrent,4317000000,5790000000
LiabilitiesCurrent,31077000000,29073000000
LongTermDebtNoncurrent,48540000000,45299000000
DeferredTaxAndOtherLiabilitiesNoncurrent,7246000000,8363000000
OtherLiabilitiesNoncurrent,14522000000,12518000000
CommitmentsAndContingencies,0.0,0.0
RedeemableNoncontrollingInterestEquityCarryingAmount,9213000000,9499000000
PreferredStockValue,0,0
CommonStocksIncludingAdditionalPaidInCapital,55471000000,56398000000
RetainedEarningsAccumulatedDeficit,40429000000,43636000000
AccumulatedOtherComprehensiveIncomeLossNetOfTax,-6440000000,-4119000000
TreasuryStockValue,907000000,907000000
StockholdersEquity,88553000000,95008000000
MinorityInterest,4458000000,3871000000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,93011000000,98879000000
LiabilitiesAndStockholdersEquity,203609000000,203631000000
