,2020-09-27-2021-09-25,2021-09-26-2022-09-24
RevenueFromContractWithCustomerExcludingAssessedTax,365817000000,394328000000
CostOfGoodsAndServicesSold,212981000000,223546000000
GrossProfit,152836000000,170782000000
ResearchAndDevelopmentExpense,21914000000,26251000000
SellingGeneralAndAdministrativeExpense,21973000000,25094000000
OperatingExpenses,43887000000,51345000000
OperatingIncomeLoss,108949000000,119437000000
NonoperatingIncomeExpense,258000000,-334000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,109207000000,119103000000
IncomeTaxExpenseBenefit,14527000000,19300000000
NetIncomeLoss,94680000000,99803000000
EarningsPerShareBasic,5.67,6.15
EarningsPerShareDiluted,5.61,6.11
WeightedAverageNumberOfSharesOutstandingBasic,16701272000,16215963000
WeightedAverageNumberOfDilutedSharesOutstanding,16864919000,16325819000
