,2020-07-26-2021-07-31,2021-08-01-2022-07-30
RevenueFromContractWithCustomerExcludingAssessedTax,49818000000,51557000000
CostOfGoodsAndServicesSold,17924000000,19309000000
GrossProfit,31894000000,32248000000
ResearchAndDevelopmentExpense,6549000000,6774000000
SellingAndMarketingExpense,9259000000,9085000000
GeneralAndAdministrativeExpense,2152000000,2101000000
AmortizationOfIntangibleAssets,215000000,313000000
RestructuringAndOtherCharges,886000000,6000000
OperatingExpenses,19061000000,18279000000
OperatingIncomeLoss,12833000000,13969000000
InvestmentIncomeInterestAndDividend,618000000,476000000
InterestExpense,434000000,360000000
OtherNonoperatingIncomeExpense,245000000,392000000
NonoperatingIncomeExpense,429000000,508000000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,13262000000,14477000000
IncomeTaxExpenseBenefit,2671000000,2665000000
NetIncomeLoss,10591000000,11812000000
EarningsPerShareBasic,2.51,2.83
EarningsPerShareDiluted,2.50,2.82
WeightedAverageNumberOfSharesOutstandingBasic,4222000000,4170000000
WeightedAverageNumberOfDilutedSharesOutstanding,4236000000,4192000000
