,2019-12-30-2021-01-03,2021-01-04-2022-01-02
EarningsPerShareBasic,12.61,13.72
CostOfGoodsAndServicesSold,2522918000,2669131000
Revenues,4117411000,4357373000
EarningsPerShareDiluted,12.39,13.54
GrossProfit,1594493000,1688242000
GeneralAndAdministrativeExpense,406613000,428333000
AdvertisingExpense,462238000,479501000
OperatingIncomeLoss,725642000,780408000
OtherIncome,0,36758000
InvestmentIncomeInterest,1654000,345000
InterestExpense,172166000,191806000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,555130000,625705000
IncomeTaxExpenseBenefit,63834000,115238000
NetIncomeLoss,491296000,510467000
