,2020-12-28-2021-12-26,2021-12-27-2022-12-25
RevenueFromContractWithCustomerExcludingAssessedTax,6420400000,5856700000
CostOfGoodsAndServicesSold,1927500000,1911800000
ProgramProductionCostAmortization,628600000,555500000
RoyaltyExpense,620400000,493000000.0
ResearchAndDevelopmentExpense,315700000,307900000
AdvertisingExpense,506600000,387300000
AmortizationOfIntangibleAssets,116800000,105300000
SellingGeneralAndAdministrativeExpense,1432700000,1666100000
DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,-108800000,-22100000
BusinessCombinationAcquisitionRelatedCosts,0,0
CostsAndExpenses,5657100000,5449000000
OperatingIncomeLoss,763300000,407700000
InterestExpense,179700000,171000000.0
InvestmentIncomeInterest,5400000,11800000
OtherNonoperatingIncomeExpense,-7100000,13000000.0
NonoperatingIncomeExpense,-181400000,-146200000
IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,581900000,261500000
IncomeTaxExpenseBenefit,146600000,58500000
ProfitLoss,435300000,203000000.0
NetIncomeLossAttributableToNoncontrollingInterest,6600000,-500000
NetIncomeLoss,428700000,203500000
EarningsPerShareBasic,3.11,1.47
EarningsPerShareDiluted,3.10,1.46
CommonStockDividendsPerShareDeclared,2.72,2.80
